,GAME_ID,HOME_TEAM_ID,HOME_P1,HOME_P2,HOME_P3,HOME_P4,HOME_P5,HOME_P6,HOME_P7,HOME_P8,HOME_P9,VISITOR_TEAM_ID,VISITOR_P1,VISITOR_P2,VISITOR_P3,VISITOR_P4,VISITOR_P5,VISITOR_P6,VISITOR_P7,VISITOR_P8,VISITOR_P9,DAY,WEEK,MONTH,HOME_TEAM_WINS
105,12200045,1610612748,1631288,1630696,1629622,1629312,1631107,1629130,1629216,203506,203473,1610612745,1629645,1631106,1630224,1630231,1629726,1630528,1628981,1630578,1631102,283.0,41.0,10.0,1
106,12200046,1610612743,1628971,1631128,202397,201145,1629008,1628427,201599,1630192,1630538,1610612756,101108,1626164,1629028,1628969,1627814,1629111,1628470,1627789,1630613,283.0,41.0,10.0,1
107,12200047,1610612765,1631093,1630595,1630180,1630191,1630165,1631105,1630296,202709,203585,1610612760,1629647,1631114,1630197,1630581,1629652,1630544,1631172,1630526,1630598,284.0,41.0,10.0,0
108,12200048,1610612753,1628976,1630175,1630532,203082,1631094,1629626,1631216,1629643,1630181,1610612763,1630217,1629630,1628415,203500,1629723,1630583,1629634,1631223,1631222,284.0,41.0,10.0,1
109,12200049,1610612741,1630172,1629632,202696,1627936,1630245,1631207,201609,203083,1629750,1610612749,1630699,1629716,1630572,1629670,1629623,1631260,1630492,1628975,1626171,284.0,41.0,10.0,1
110,12200050,1610612762,1630215,1628374,203903,200752,1631117,203482,1629659,1629012,1629020,1610612759,1630170,1629640,1627751,1631110,1630200,1630563,1628966,203926,1629641,284.0,41.0,10.0,0
111,12200051,1610612744,1630228,1628978,1630541,1631116,1630311,203210,1630164,1629683,1630237,1610612757,1631101,1629642,1630553,1628404,1629014,203924,203994,1631133,1630627,284.0,41.0,10.0,1
112,12200052,1610612739,1628378,1630171,1629636,1629603,1626224,1628386,201577,203526,1630205,1610612737,1629027,1627749,1629631,1628381,1631100,203991,1630552,1630168,203200,285.0,41.0,10.0,1
113,12200053,1610612754,1631097,1629614,1630537,1626167,204456,1627741,1629052,1630678,1630188,1610612752,1628973,1629628,203944,1630193,203095,1629011,1628392,1630167,1629629,285.0,41.0,10.0,1
114,12200054,1610612755,202699,201935,1630178,203954,200782,1629001,1627863,1626149,1627777,1610612766,1630550,1626179,202330,1629667,1630208,1630547,1628372,203486,1631121,285.0,41.0,10.0,1
115,12200055,1610612748,1629639,1628389,200768,202710,1628997,203506,1629622,1629216,203473,1610612740,1630529,1626195,1630530,1630230,1628984,1630631,203468,1629597,1631342,285.0,41.0,10.0,1
116,12200056,1610612749,201950,203507,1628975,201588,1626171,201572,1629670,201586,1630699,1610612751,202681,201142,1627732,1626220,1629651,201988,1630549,1630560,202693,285.0,41.0,10.0,0
117,12200057,1610612747,203076,201976,201566,2544,1630559,1629134,1629022,1628418,1631108,1610612750,1629675,1630162,1626156,1630183,1629669,203937,1627854,203085,1630233,285.0,41.0,10.0,0
118,12200058,1610612756,1630613,1630688,1629111,202687,1627814,1627789,1628470,1629006,1630240,1610612758,203084,1627734,1628368,1626168,1628989,1628370,1629056,1630558,203458,285.0,41.0,10.0,0
119,12200059,1610612746,1626181,1629611,1630554,201587,1628379,1627826,202331,202694,1629599,1610612743,1631128,1628427,1630192,202397,1628432,1631298,1631212,1629008,203932,285.0,41.0,10.0,0
