GAME_ID,HOME_TEAM_ID,HOME_P1,HOME_P2,HOME_P3,HOME_P4,HOME_P5,HOME_P6,HOME_P7,HOME_P8,HOME_P9
22100113,1610612751,201142,201935,203925,1628971,201933,201988,200746,1627761,200794
22100114,1610612763,1629630,203500,1628991,1630217,1629001,1630533,203937,1626145,1629723
22100115,1610612750,1630162,1626157,201976,1630183,1629020,1627736,1629675,1629162,1629006
22100116,1610612759,1628401,1627749,1629640,1630170,203926,1629022,201152,1629234,1627854
22100117,1610612744,201939,203110,1629673,203952,1627780,2738,1627814,1626172,1629308
22100118,1610612758,203084,1628368,1630169,203090,1630558,1627741,203458,1626158,202684
22100119,1610612765,203924,1630180,1630595,1630191,1630165,203482,202709,1628367,1628402
22100120,1610612737,203991,1629027,1629631,1628381,203992,201568,1628989,1629629,101150
22100121,1610612748,202710,1629130,200782,1628389,1629639,200768,202693,203473,1628997
22100122,1610612756,101108,1626164,1628969,203109,1629028,1629661,1629013,201580,203901
22100123,1610612747,203076,201566,2546,202340,203145,1630559,200765,201599,1628370
22100124,1610612765,203924,1628367,1630180,1630595,202709,203482,1630191,1628402,1626168
22100125,1610612753,1630175,1628964,1630532,1628976,1630591,203082,1630181,1629643,203914
22100126,1610612764,1630166,203078,203484,203526,1628398,1626149,1629655,203915,1628988
22100127,1610612761,1630567,1629018,1627832,1628384,203920,1629004,1630173,1630625,1630201
22100128,1610612749,1628960,203507,1626192,201588,1626171,1629670,201950,1628400,203648
22100129,1610612750,1627736,1626157,1630162,201976,1627752,1629020,1629162,1629675,1630183
22100130,1610612744,201939,1629673,203952,203110,1627814,202357,1627780,2738,203490
22100131,1610612757,203468,203081,203496,1626181,203994,1629014,1626204,1629642,203469
22100132,1610612758,203084,1626158,1630169,1627741,1628368,1630558,203090,1629056,202684
22100133,1610612743,203115,203999,1628420,203932,1628408,201145,1630267,1630538,203210
22100134,1610612748,200768,202710,1628389,1629639,200782,1629130,202693,1628997,203473
22100135,1610612741,203897,1628366,202696,201942,1627936,1629750,1627884,1630245,1628396
22100136,1610612742,1629029,203501,1628973,1627827,204001,203493,203939,1628373,1626161
22100137,1610612756,101108,1626164,203109,1628969,1626163,1629661,201580,1629013,1626166
22100138,1610612757,203496,203081,1626181,203468,1629014,203994,1626204,1629642,1628372
22100139,1610612761,1627832,1628384,1629018,1630567,1630173,1627783,1629004,1630625,1628449
22100140,1610612752,203944,203457,1629628,203095,201565,202692,1630193,1629011,1629656
22100141,1610612753,1630175,1630532,1628976,203914,1630591,1628964,203082,1629643,1630181
22100142,1610612764,203078,1628398,1630166,203915,1626149,203484,203526,1629655,1630557
22100143,1610612758,203084,1628368,1630169,1627741,1630558,1626158,203090,203458,1629056
22100144,1610612760,1628983,1629652,1629647,1630581,1630526,1629026,1630197,203488,1629660
22100145,1610612744,1629673,203952,201939,1627814,203110,1629308,1627780,203490,1626172
22100146,1610612746,202331,202704,1629611,201587,1627826,1628379,202339,1628392,201586
22100147,1610612755,203552,1627788,1630178,203083,201980,1627777,1629003,1630194,1629646
22100148,1610612741,201942,203897,202696,1628366,1629750,1627936,1630245,1627884,1628396
22100149,1610612763,1629630,1630217,1629001,1628991,203937,1629634,1626145,203500,1630214
22100150,1610612742,203501,1629029,1628973,1627827,204001,203939,203493,1628373,1628425
22100151,1610612743,203932,203115,201145,203999,1628420,1628408,1630538,203085,203210
22100152,1610612744,201939,1629673,203110,203952,1627780,2738,1627814,1626172,1629308
22100153,1610612758,203084,1628368,1630558,1627741,1629056,1626158,1629002,1627745,203090
22100154,1610612747,203076,201566,2546,1630559,201961,202340,1628370,2730,203145
22100155,1610612755,1627788,1629003,1630178,203083,201980,1627777,1630194,1629646,203552
22100156,1610612762,1626220,1628378,202711,201144,203903,203497,202355,204060,1629672
22100157,1610612746,202704,202331,1629611,202339,201587,1628379,1627826,1628392,201586
22100158,1610612739,1628386,1629636,1626224,1630171,1629731,201937,1630596,1630205,1629685
22100159,1610612753,1630532,1630175,1628964,1630591,1629643,1630181,203082,203914,1628976
22100160,1610612738,1628369,203935,203471,1629057,1626196,201143,1629641,1629684,1630174
22100161,1610612752,201565,202692,1630193,203944,201959,1629011,1630167,1629628,203095
22100162,1610612745,1630224,1626174,1629645,201569,1630256,1628464,1627863,1628021,1630231
22100163,1610612741,1628366,201942,202696,203897,1627936,1629750,1627884,1630245,1628993
22100164,1610612763,1629630,1629001,1628991,203500,1628415,203937,1630217,1629723,1629634
22100165,1610612740,202685,1629638,1628984,1630529,202066,203107,1630530,1628404,1630184
22100166,1610612759,1627749,1629640,1628401,203926,1630170,1629234,201152,1629022,1627854
22100167,1610612743,203115,203932,1628420,201145,1628408,1630538,203210,1630192,203085
22100168,1610612756,1628969,1626164,101108,1626163,203109,1629661,201580,1626166,1627846
22100169,1610612744,1629673,201939,203952,1626172,2738,203110,202357,1627780,203490
22100170,1610612747,203076,201566,202340,2546,1628370,203145,201961,2730,201599
22100171,1610612755,1630178,202699,203552,203083,1627788,1627777,201980,1629003,1630194
22100172,1610612762,1628378,1626220,202711,203497,201144,204060,203903,202355,1629672
22100173,1610612746,202339,202331,201587,202704,1627826,1628379,1629611,1628392,1626159
22100174,1610612766,202330,1630163,1628970,1626179,203486,1626162,1628998,1629667,1630208
22100175,1610612738,203935,1628369,203471,1629057,201143,1626196,1629641,1629684,1630174
22100176,1610612739,1630596,1629636,1629731,1628386,201937,1630171,1626224,1629685,1629605
22100177,1610612745,1626174,201569,1630224,1629645,1628464,1630256,1630578,1627863,1630231
22100178,1610612763,1629630,1628991,1629723,1630217,203500,1630533,1629634,203937,1629001
22100179,1610612740,1628404,202066,1628984,202685,1629638,1630529,1629637,1630530,203107
22100180,1610612760,1628983,1629647,1629652,1630526,1630581,1630544,1629026,1630197,202324
22100181,1610612759,1627749,1630170,1629640,203926,201152,1629022,1629234,1628401,1627854
22100182,1610612743,203999,203115,203932,201145,1628420,1628408,1630538,203085,203210
22100183,1610612744,201939,1629673,203952,203110,1627780,1626172,2738,1630228,202357
22100184,1610612747,203076,201566,1628370,201961,202340,200765,2546,2730,203145
22100185,1610612762,1628378,203497,1626220,203903,202711,201144,204060,202355,1629672
22100186,1610612754,1627763,1626167,1627734,203200,1630537,1629103,1627747,204456,1628470
22100187,1610612753,1630532,1630175,1628976,203082,1628964,1630591,1630181,1629643,203914
22100188,1610612740,202685,1628404,1628984,1627742,1630529,1629638,203107,202066,1629637
22100189,1610612761,1629018,1630567,1628384,1627783,201609,1630625,203920,1629004,1628449
22100190,1610612739,1630596,1629636,201937,1626224,1628386,1627756,1629731,1630171,1629685
22100191,1610612746,1629611,202704,202331,1628379,202339,1628392,1627826,1626159,201587
22100192,1610612747,203076,201566,2546,201961,1629659,1628370,202340,200765,2730
22100193,1610612737,1628989,1629027,203991,1628381,203992,201568,1629629,101150,1626153
